Date	AUD
2018-12-03	1.36328654567
2018-12-04	1.45037504003
2018-12-05	1.67159379394
2018-12-06	1.69866747566
2018-12-07	1.80130437874
2018-12-08	2.01894417249
2018-12-09	
2018-12-10	
2018-12-11	
2018-12-12	
2018-12-13	
2018-12-14	
2018-12-15	
2018-12-16	
2018-12-17	
2018-12-18	1.63952843183
2018-12-19	1.87844410823
2018-12-20	1.93882802692
2018-12-21	0.186929988727
2018-12-22	0.278406672197
2018-12-23	0.523092725856
2018-12-24	0.565372106153
2018-12-25	-0.790053565938
2018-12-26	-0.896401473628
2018-12-27	-0.884699164453
2018-12-28	
2018-12-29	
2018-12-30	
2018-12-31	
2019-01-01	3.15939804408
2019-01-02	3.26334246129
2019-01-03	3.38767804776
2019-01-04	3.45356333612
2019-01-05	3.1230393185
2019-01-06	3.0449395539
2019-01-07	2.9970575432
2019-01-08	3.07792650496
2019-01-09	2.86299524788
2019-01-10	2.54801840123
2019-01-11	2.30267702333
2019-01-12	2.75333860972
2019-01-13	2.77960196159
2019-01-14	2.91137181427
2019-01-15	
2019-01-16	
2019-01-17	
2019-01-18	
2019-01-19	
2019-01-20	2.15937434671
2019-01-21	2.06072067358
2019-01-22	2.11630314913
2019-01-23	2.27133830888
2019-01-24	2.45366863281
2019-01-25	2.36218121259
2019-01-26	1.30205636725
2019-01-27	0.813035353013
2019-01-28	-0.814047753284
2019-01-29	-0.789790169136
2019-01-30	-0.948342020472
2019-01-31	-1.06532866858
2019-02-01	-0.0962073829059
2019-02-02	0.924437542746
2019-02-03	0.855920771734
2019-02-04	0.79103009687
2019-02-05	0.673581574264
2019-02-06	0.87681233169
2019-02-07	0.985092925709
2019-02-08	
2019-02-09	
2019-02-10	-0.536249376067
2019-02-11	-0.557737551101
2019-02-12	-0.599806617717
2019-02-13	-2.48178212387
2019-02-14	-2.51875854359
2019-02-15	-1.81437378796
2019-02-16	-2.14733028282
2019-02-17	-2.63476273471
2019-02-18	-2.64552094047
2019-02-19	-2.59672604943
2019-02-20	-0.399914050944
2019-02-21	-0.435974461532
2019-02-22	2.36029157099
2019-02-23	2.41490313077
2019-02-24	2.41486613557
2019-02-25	2.33476791836
2019-02-26	4.44144484634
2019-02-27	4.14681898749
2019-02-28	4.04971658277
2019-03-01	4.92183802267
2019-03-02	5.16134275745
2019-03-03	5.26638166367
2019-03-04	3.81959526661
2019-03-05	2.40196889766
2019-03-06	0.916833298347
2019-03-07	1.07643454718
2019-03-08	1.2185752876
2019-03-09	1.11986451991
2019-03-10	1.35732931509
2019-03-11	
2019-03-12	
2019-03-13	4.03240280747
2019-03-14	4.02323941889
2019-03-15	3.97822854246
2019-03-16	1.65317284444
2019-03-17	1.24762709645
2019-03-18	1.23895688224
2019-03-19	1.40751344867
2019-03-20	0.030688186781
2019-03-21	0.388295367008
2019-03-22	0.396826323683
2019-03-23	1.12548770815
2019-03-24	1.58428461414
2019-03-25	1.72232120942
2019-03-26	1.64451682333
2019-03-27	1.62252666844
2019-03-28	1.81109068857
2019-03-29	0.538723118949
2019-03-30	0.357541573323
2019-03-31	-1.01113694821
2019-04-01	-1.05056935411
2019-04-02	-1.07548447757
2019-04-03	-1.28200143651
2019-04-04	-1.42029276241
2019-04-05	-1.38907853017
2019-04-06	-1.87314435461
2019-04-07	-2.14753047862
2019-04-08	-2.46205527732
2019-04-09	-2.53528266006
2019-04-10	-1.58504585108
2019-04-11	-1.38049169823
2019-04-12	0.207833659552
2019-04-13	1.21282072682
2019-04-14	1.39939293565
2019-04-15	1.3641013963
2019-04-16	-0.37637233074
2019-04-17	-0.146681419148
2019-04-18	-0.119555285154
2019-04-19	-1.6698709137
2019-04-20	-1.3401940043
2019-04-21	-1.03222594149
2019-04-22	-0.938481246327
2019-04-23	1.46647544199
2019-04-24	
2019-04-25	0.0490835866269
2019-04-26	1.81345976326
2019-04-27	2.0909580407
2019-04-28	1.47714050315
2019-04-29	1.49607826563
2019-04-30	1.38505316243
2019-05-01	1.29100826811
2019-05-02	1.03571863262
2019-05-03	0.23325206569
